id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_overtime_setting,access_overtime_setting,model_overtime_setting,hr.group_hr_manager,1,1,1,1
access_payroll_calculation,access_payroll_calculation,model_payroll_calculation,hr.group_hr_manager,1,1,1,1
access_monthly_loan,access_monthly_loan,model_hr_monthlyloan,is_hr_capital.group_hr_loan_user,1,1,1,1
access_hr_loan,access_hr_loan,model_hr_loan,is_hr_capital.group_hr_loan_user,1,1,1,1
access_hr_loan_line,access_hr_loan_line,model_hr_loan_line,is_hr_capital.group_hr_loan_user,1,1,1,1
access_wizard_loan,access_wizard_loan,model_wizard_loan,is_hr_capital.group_hr_loan_user,1,1,1,1
access_wizard_loan_stop,access_wizard_loan_stop,model_wizard_loan_stop,is_hr_capital.group_hr_loan_user,1,1,1,1
access_account_move_loan,account.move,account.model_account_move,is_hr_capital.group_hr_loan_user,1,1,0,0
access_account_move_line_loan,account.move.line,account.model_account_move_line,is_hr_capital.group_hr_loan_user,1,1,0,0
access_hr_violation_type,access_hr_violation_type,model_hr_violation_type,hr.group_hr_manager,1,1,1,1
access_hr_emp_penalty,access_hr_emp_penalty,model_hr_emp_penalty,hr.group_hr_manager,1,1,1,1
access_hr_overtime,access_hr_overtime,model_hr_overtime,is_hr_capital.group_hr_overtime_user,1,1,1,0
access_hr_overtime_month_hr,access_hr_overtime_month_hr,model_hr_overtime_month,account.group_account_manager,1,1,0,0
access_hr_overtime_month_line,access_hr_overtime_month_line,model_overtime_line,account.group_account_manager,1,1,0,0
access_account_hr_overtime,access_account_hr_overtime,model_hr_overtime,account.group_account_manager,1,1,0,0
access_wizard_overtime,access_wizard_overtime,model_wizard_overtime,hr.group_hr_manager,1,1,1,1
access_hr_overtime_month,access_hr_overtime_month,model_hr_overtime_month,hr.group_hr_manager,1,1,1,1
access_hr_overtime_mh,access_hr_overtime_mh,model_hr_overtime,hr.group_hr_manager,1,1,1,1
access_overtime_line,access_overtime_line,model_overtime_line,hr.group_hr_manager,1,1,1,1
access_hr_trip,access_hr_trip,model_hr_trip,hr.group_hr_manager,1,1,1,1
access_hr_trip_users,access_hr_trip_users,model_hr_trip,is_hr_capital.group_hr_trip_user,1,1,1,0
access_insurance_basic_list,access_insurance_basic_list,model_insurance_basic_list,hr.group_hr_manager,1,1,1,1
access_hr_emp,access_hr_emp,model_hr_emp,hr.group_hr_manager,1,1,1,1
access_saturday_work,access_saturday_work,model_saturday_work,hr.group_hr_manager,1,1,1,1
access_overtime_emp,access_overtime_emp,model_overtime_emp,hr.group_hr_manager,1,1,1,1
access_overtime_emp_list,access_overtime_emp_list,model_overtime_emp_list,hr.group_hr_manager,1,1,1,1
access_office_maintenance,access_office_maintenance,model_office_maintenance,hr.group_hr_manager,1,1,1,1
access_emp_support,access_emp_support,model_emp_support,hr.group_hr_manager,1,1,1,1
access_wizard_paysheet,access_wizard_paysheet,model_wizard_paysheet,hr.group_hr_manager,1,1,1,1
is_hr_capital.access_wizard_payslip_recompute,access_wizard_payslip_recompute,is_hr_capital.model_wizard_payslip_recompute,base.group_user,1,1,1,1
is_hr_capital.access_salary_transfer,access_salary_transfer,is_hr_capital.model_salary_transfer,base.group_user,1,1,1,1
is_hr_capital.access_overtime_month_excel,access_overtime_month_excel,is_hr_capital.model_overtime_month_excel,base.group_user,1,1,1,1
is_hr_capital.access_insurance_basic_list_excel,access_insurance_basic_list_excel,is_hr_capital.model_insurance_basic_list_excel,base.group_user,1,1,1,1
is_hr_capital.access_payslip_report_excel,access_payslip_report_excel,is_hr_capital.model_payslip_report_excel,base.group_user,1,1,1,1
is_hr_capital.access_wizard_other_banks,access_wizard_other_banks,is_hr_capital.model_wizard_other_banks,base.group_user,1,1,1,1
is_hr_capital.access_banks_report_excel,access_banks_report_excel,is_hr_capital.model_banks_report_excel,base.group_user,1,1,1,1
is_hr_capital.access_hr_salary_transfer,access_hr_salary_transfer,is_hr_capital.model_hr_salary_transfer,base.group_user,1,1,1,1
is_hr_capital.access_hr_penalties,access_hr_penalties,is_hr_capital.model_hr_penalties,base.group_user,1,1,1,1
